model,aggregation_level,formula,term,label,coefficient_db,standard_error,ci95_low,ci95_high,p_value,n_observations,n_sensors,n_floors,n_days,converged,reml
mixedlm_random_sensor_intercept_date_variance_component,sensor-hour,mean_db ~ closed + low_attendance + broad_remote + activity_window + (1|sensor) + (1|date variance component),closed,Closed period,-4.990908328840013,0.1388133614597832,-5.262977517874129,-4.7188391398058975,4.36849934106585e-283,36906,56,5,31,True,True
mixedlm_random_sensor_intercept_date_variance_component,sensor-hour,mean_db ~ closed + low_attendance + broad_remote + activity_window + (1|sensor) + (1|date variance component),low_attendance,Low attendance,-3.7569587118274095,0.263640695643311,-4.273684980147386,-3.240232443507435,4.4636671877821965e-46,36906,56,5,31,True,True
mixedlm_random_sensor_intercept_date_variance_component,sensor-hour,mean_db ~ closed + low_attendance + broad_remote + activity_window + (1|sensor) + (1|date variance component),broad_remote,Broad remote work,-0.3017976102539537,0.2610867425356319,-0.813518222464674,0.2099230019567665,0.2477103984405816,36906,56,5,31,True,True
mixedlm_random_sensor_intercept_date_variance_component,sensor-hour,mean_db ~ closed + low_attendance + broad_remote + activity_window + (1|sensor) + (1|date variance component),activity_window,Activity window,4.253275517475847,0.0487568159509476,4.157713914211141,4.348837120740552,0.0,36906,56,5,31,True,True
