comparison,arithmetic_mean_db,energy_domain_db,absolute_difference_db
A_normal_workday,61.65593799528598,67.48274738437095,5.826809389084971
A_closed,56.08864795909746,58.29328479721038,2.2046368381129184
A_low_attendance,55.26609042040651,57.32203784127684,2.055947420870325
A_broad_remote,58.747315054077575,65.25438477648855,6.507069722410975
A_activity_window_normal,64.13371685451095,68.96509104648376,4.831374191972813
A_other_hours_normal,58.60407777816664,64.58814039324979,5.984062615083147
B_normal_workday,65.81394050684082,70.98297990606257,5.169039399221745
B_closed,65.04591418273743,72.40081141200574,7.354897229268303
B_activity_window_normal,66.58634696677927,68.57732482132863,1.9909778545493568
B_other_hours_normal,64.81888834789855,72.8804198541155,8.061531506216951
