event_type,n_sensors,mean_delta_vs_normal_workday_db,ci95_low,ci95_high,median_delta_db,min_delta_db,max_delta_db,sensors_lower_than_normal,sensors_higher_than_normal
broad_remote_work,56,-2.762978384375915,-3.098575962215248,-2.4273808065365827,-2.596431480750532,-5.268202866078994,0.6205658091651145,55,1
low_attendance,56,-6.274797214726164,-6.944078542254611,-5.605515887197716,-6.216181133265554,-11.730709160923134,0.4156485618927945,55,1
