sensor_id,n_records,mean_db,median_db,std_db,min_db,max_db,p05_db,p10_db,p25_db,p75_db,p90_db,p95_db,high_exposure_share_60,high_exposure_share_65,high_exposure_share_70,quiet_share_45,quiet_share_50,quiet_share_55,iqr_db,range_db,coverage_ratio,floor,company_id,event_type,period_id
A001,1440,55.16008402777777,54.9725,1.0050292555986688,53.538,64.418,54.0879,54.22,54.56,55.37625,56.346500000000006,57.22235,0.0027777777777777,0.0,0.0,0.0,0.0,0.5263888888888889,0.8162499999999966,10.88000000000001,1.0,Main_Floor_A,Deployment_A,none,A_P019
A001,1440,55.379786805555554,55.286,0.9691032010473764,53.802,66.132,54.175450000000005,54.363,54.758,55.824,56.3641,56.8691,0.0034722222222222,0.0013888888888888,0.0,0.0,0.0,0.3631944444444444,1.0659999999999954,12.330000000000004,1.0,Main_Floor_A,Deployment_A,none,A_P020
A001,1440,65.43284236111111,72.86449999999999,9.89195246662442,53.275,85.891,53.648,53.802,54.74425,74.85624999999999,75.793,76.2894,0.5625,0.5201388888888889,0.5194444444444445,0.0,0.0,0.2875,20.111999999999988,32.61600000000001,1.0,Main_Floor_A,Deployment_A,none,A_P021
A001,1440,66.97275347222222,71.8735,9.192155759236917,53.286,79.11,53.79045,54.066,54.901,74.52325,75.55460000000001,75.99145,0.6534722222222222,0.6402777777777777,0.625,0.0,0.0,0.2631944444444444,19.62225,25.824,1.0,Main_Floor_A,Deployment_A,none,A_P022
A001,1440,55.08273472222223,54.527,1.865568117048917,52.933,73.055,53.6169,53.835,54.143,54.93975,58.176,58.51125,0.01875,0.0048611111111111,0.0013888888888888,0.0,0.0,0.7701388888888889,0.796750000000003,20.122000000000007,1.0,Main_Floor_A,Deployment_A,none,A_P023
A001,1440,55.85050277777778,55.022,2.34419894288016,53.165,69.571,53.615,53.7863,54.176,56.62875,59.099,59.791,0.0451388888888888,0.0090277777777777,0.0,0.0,0.0,0.4958333333333333,2.4527499999999947,16.406,1.0,Main_Floor_A,Deployment_A,none,A_P024
A001,1440,66.36634375,72.253,9.31621833711649,52.462,77.835,53.47245,53.758,54.484,74.066,75.0451,75.593,0.6430555555555556,0.6180555555555556,0.6055555555555555,0.0,0.0,0.3201388888888888,19.582,25.37299999999999,1.0,Main_Floor_A,Deployment_A,none,A_P025
A001,1440,67.9080951388889,72.956,12.032285214552584,52.835,82.297,53.3,53.44,54.099,80.14574999999999,80.769,81.06655,0.575,0.5263888888888889,0.5243055555555556,0.0,0.0,0.3069444444444444,26.04675,29.462,1.0,Main_Floor_A,Deployment_A,none,A_P026
A001,1440,73.61937222222221,79.147,10.212650154943896,52.791,82.121,53.2959,53.5265,75.33824999999999,79.901,80.429,80.714,0.79375,0.7923611111111111,0.7923611111111111,0.0,0.0,0.18125,4.562750000000008,29.33,1.0,Main_Floor_A,Deployment_A,none,A_P027
A001,1440,69.68962013888888,76.835,11.511757001252406,52.227,81.571,53.648,53.868,54.29425,78.923,80.297,80.648,0.6465277777777778,0.6402777777777777,0.6395833333333333,0.0,0.0,0.2923611111111111,24.628750000000004,29.344,1.0,Main_Floor_A,Deployment_A,none,A_P028
A001,1440,71.24100555555555,76.6755,11.146035930586136,52.778,81.725,53.308,53.7102,55.65825,79.989,80.319,80.495,0.7041666666666667,0.6958333333333333,0.6930555555555555,0.0,0.0,0.2041666666666666,24.33075000000001,28.947,1.0,Main_Floor_A,Deployment_A,none,A_P029
A001,1440,55.83400208333334,55.005,2.446468277894086,52.758,67.967,53.154,53.352,54.495,55.714,59.462,60.4339,0.0618055555555555,0.0027777777777777,0.0,0.0,0.0,0.5,1.2190000000000012,15.208999999999996,1.0,Main_Floor_A,Deployment_A,none,A_P030
A001,805,56.256,55.611,1.769049304792283,54.22,64.419,54.527,54.626,54.854,57.802,58.6986,59.4862,0.0360248447204968,0.0,0.0,0.0,0.0,0.2956521739130435,2.9480000000000004,10.198999999999998,0.5590277777777778,Main_Floor_A,Deployment_A,none,A_P031
A002,560,60.15144642857143,57.3465,5.389913150665981,54.611,74.033,55.208450000000006,55.3949,55.791,63.35825,69.0374,70.19855,0.3625,0.2232142857142857,0.0625,0.0,0.0,0.0267857142857142,7.567250000000001,19.422000000000004,0.3888888888888889,Main_Floor_A,Deployment_A,none,A_P001
A002,1440,57.17959583333334,55.5,3.56120270584866,53.132,72.656,53.802,54.1648,54.736,60.68925,62.9571,63.4411,0.2597222222222222,0.0125,0.0006944444444444,0.0,0.0,0.3375,5.953250000000004,19.524000000000008,1.0,Main_Floor_A,Deployment_A,none,A_P002
A002,1440,56.6575,55.176,3.816250317400442,52.011,69.286,52.7689,53.022,53.725,57.8845,63.2211,63.66715,0.2138888888888888,0.0118055555555555,0.0,0.0,0.0,0.4722222222222222,4.159500000000001,17.275,1.0,Main_Floor_A,Deployment_A,none,A_P003
A002,1440,64.32201458333333,66.055,7.432779616312146,51.817,85.187,53.088,53.429,58.18425,70.50775,72.94850000000001,74.7723,0.6256944444444444,0.5625,0.2875,0.0,0.0,0.1909722222222222,12.323500000000005,33.37,1.0,Main_Floor_A,Deployment_A,none,A_P004
A002,1440,64.44342361111111,67.396,7.216181021386902,52.044,79.945,53.32945,54.6469,56.319,69.94775,72.74040000000001,74.121,0.6409722222222223,0.6368055555555555,0.2486111111111111,0.0,0.0,0.1277777777777777,13.628749999999997,27.901,1.0,Main_Floor_A,Deployment_A,none,A_P005
A002,1440,63.20082916666667,64.40700000000001,7.122691454933212,52.352,79.484,53.230450000000005,53.912,55.451,69.077,72.0792,73.64855,0.6076388888888888,0.4805555555555555,0.1930555555555555,0.0,0.0,0.1701388888888889,13.625999999999998,27.132,1.0,Main_Floor_A,Deployment_A,none,A_P006
A002,1440,62.73969236111112,64.198,7.159043778605205,52.89,78.253,53.58865,53.846,54.857,69.418,71.5072,72.5171,0.5659722222222222,0.45625,0.1944444444444444,0.0,0.0,0.2666666666666666,14.561000000000009,25.363,1.0,Main_Floor_A,Deployment_A,none,A_P007
A002,1440,56.55067986111112,56.857,1.1223048709511505,52.978,60.11,54.07645,54.6359,56.066,57.363,57.6819,57.813,0.0006944444444444,0.0,0.0,0.0,0.0,0.125,1.296999999999997,7.131999999999998,1.0,Main_Floor_A,Deployment_A,low_attendance,A_P008
A002,1440,57.172274305555554,57.275,1.2075804099911387,54.374,63.264,55.4499,55.769,56.36975,57.71175,58.044,59.23835,0.0444444444444444,0.0,0.0,0.0,0.0,0.0180555555555555,1.3419999999999987,8.89,1.0,Main_Floor_A,Deployment_A,low_attendance,A_P009
A002,1440,57.31679097222222,57.253,0.8682407428523224,55.385,62.89,55.956,56.2191,56.703,57.945,58.374,58.67,0.0041666666666666,0.0,0.0,0.0,0.0,0.0,1.241999999999997,7.505000000000003,1.0,Main_Floor_A,Deployment_A,none,A_P010
A002,1440,64.72518819444444,67.851,7.252120060299985,53.791,79.429,54.85665,55.3776,56.37125,70.89,73.132,74.1023,0.6034722222222222,0.5805555555555556,0.3138888888888889,0.0,0.0,0.0548611111111111,14.518749999999995,25.638000000000005,1.0,Main_Floor_A,Deployment_A,none,A_P011
A002,137,54.635817518248174,54.604,0.3840027998323569,53.725,55.901,54.0858,54.1794,54.407,54.846,55.143,55.3652,0.0,0.0,0.0,0.0,0.0,0.8394160583941606,0.439,2.176000000000002,0.0951388888888888,Main_Floor_A,Deployment_A,none,A_P012
A002,1315,64.46153688212928,67.424,7.00981646835792,53.456,76.947,54.3567,54.6028,55.9065,70.0675,72.1402,73.16069999999999,0.6555133079847909,0.596958174904943,0.2577946768060836,0.0,0.0,0.155893536121673,14.160999999999994,23.491,0.9131944444444444,Main_Floor_A,Deployment_A,none,A_P013
A002,1440,63.01621180555556,63.557,7.399586382069756,52.978,81.244,53.71345,54.0319,54.79925,70.06325000000001,72.21010000000001,73.42955,0.5618055555555556,0.4368055555555555,0.2590277777777778,0.0,0.0,0.2743055555555556,15.26400000000001,28.266,1.0,Main_Floor_A,Deployment_A,none,A_P014
