event_type,sensor_id,floor,normal_workday_mean_db,event_mean_db,delta_vs_normal_workday_db
broad_remote_work,A001,Main_Floor_A,65.83583103592314,61.02208993055556,-4.813741105367576
broad_remote_work,A002,Main_Floor_A,62.22412701731311,60.188408333333335,-2.0357186839797734
broad_remote_work,A003,Main_Floor_A,57.50715832289057,53.742576041666666,-3.764582281223902
broad_remote_work,A004,Main_Floor_A,58.49197664995823,53.79167395833333,-4.700302691624891
broad_remote_work,A005,Main_Floor_A,61.31222260661331,59.87730611104053,-1.434916495572779
broad_remote_work,A006,Main_Floor_A,61.27831609391643,56.99477361111112,-4.283542482805316
broad_remote_work,A007,Main_Floor_A,59.93075260025063,56.587063541666666,-3.343689058583962
broad_remote_work,A008,Main_Floor_A,63.33870664682539,60.49907222222223,-2.839634424603169
broad_remote_work,A009,Main_Floor_A,63.5991380146753,60.80552881944445,-2.79360919523085
broad_remote_work,A010,Main_Floor_B,57.17150782635896,53.96673192793531,-3.204775898423655
broad_remote_work,A011,Main_Floor_B,55.65564166227048,53.786737152777775,-1.868904509492701
broad_remote_work,A012,Main_Floor_B,57.29633214231603,54.33641145833334,-2.959920683982695
broad_remote_work,A013,Main_Floor_B,62.0474113512949,61.57475625000001,-0.4726551012948903
broad_remote_work,A014,Main_Floor_B,59.95576823830409,57.88853472222222,-2.0672335160818704
broad_remote_work,A015,Main_Floor_B,61.595021437616566,60.21757929666214,-1.3774421409544289
broad_remote_work,A016,Main_Floor_B,58.92248844393292,56.8542918203196,-2.068196623613325
broad_remote_work,A017,Main_Floor_B,61.90692481203008,59.93081180555555,-1.9761130064745276
broad_remote_work,A018,Main_Floor_B,63.332167470609136,62.47860806582034,-0.8535594047887969
broad_remote_work,A019,Main_Floor_B,55.910746650981416,54.06625252306023,-1.8444941279211875
broad_remote_work,A020,Main_Floor_B,60.284502213868,58.78273194444445,-1.5017702694235524
broad_remote_work,A021,Main_Floor_C,61.996929427736006,59.64821111111111,-2.348718316624897
broad_remote_work,A022,Main_Floor_C,60.63146671638857,58.87520034722223,-1.7562663691663474
broad_remote_work,A023,Main_Floor_C,58.619062875939846,53.861790972222224,-4.757271903717623
broad_remote_work,A024,Main_Floor_C,60.311583348997495,58.08377847222222,-2.2278048767752736
broad_remote_work,A025,Main_Floor_C,58.89218765664161,56.014039583333336,-2.8781480733082745
broad_remote_work,A026,Main_Floor_C,57.36269438178781,53.72076979166667,-3.641924590121143
broad_remote_work,A027,Main_Floor_C,57.64705509750684,55.24498338898568,-2.402071708521156
broad_remote_work,A028,Main_Floor_C,60.99795410923141,59.181277430555554,-1.8166766786758544
broad_remote_work,A029,Main_Floor_C,62.00233090016709,57.35206631944445,-4.6502645807226415
broad_remote_work,A030,Main_Floor_C,65.5246470055158,64.1490482125413,-1.3755987929745004
broad_remote_work,A031,Main_Floor_C,60.22202590329992,57.807117013888885,-2.4149088894110307
